run,ttft_ms,e2e_ms,text,usage,concurrency,index,kind,prefix_index,length,submitted_seconds,started_seconds,finished_seconds,cached_tokens,matches_reference_output
sustained-vllm-native,141.7826972901821,377.45678052306175,.  and.  and.  and.  and.  and.,"{""completion_tokens"": 16, ""prompt_tokens"": 1024, ""prompt_tokens_details"": {""cached_tokens"": 0}, ""total_tokens"": 1040}",8,1,reuse,0,1024,0.0004003457725048065,0.0016000345349311829,0.3791120611131191,0,True
sustained-vllm-native,267.2988139092922,382.49074295163155,.  and.  and.  and.  and.  and.,"{""completion_tokens"": 16, ""prompt_tokens"": 4096, ""prompt_tokens_details"": {""cached_tokens"": 4032}, ""total_tokens"": 4112}",8,3,reuse,10,4096,0.004492424428462982,0.004650473594665527,0.3871861696243286,4032,True
sustained-vllm-native,270.8144634962082,384.92004573345184,.  A.  A.  A.  A.  A.,"{""completion_tokens"": 16, ""prompt_tokens"": 1024, ""prompt_tokens_details"": {""cached_tokens"": 0}, ""total_tokens"": 1040}",8,2,reuse,3,1024,0.002283737063407898,0.0024259053170681,0.38739048317074776,0,True
sustained-vllm-native,272.55934476852417,387.2099295258522,.  and.  and.  and.  and.  and.,"{""completion_tokens"": 16, ""prompt_tokens"": 8192, ""prompt_tokens_details"": {""cached_tokens"": 8128}, ""total_tokens"": 8208}",8,0,reuse,11,8192,5.8785080909729004e-05,0.00024997442960739136,0.3875216469168663,8128,True
sustained-vllm-native,1001.3498961925507,1101.5003845095634,.  and.  and.  and.  and.  and.,"{""completion_tokens"": 16, ""prompt_tokens"": 4096, ""prompt_tokens_details"": {""cached_tokens"": 0}, ""total_tokens"": 4112}",8,5,reuse,7,4096,0.00689711794257164,0.0071403272449970245,1.1086901985108852,0,True
sustained-vllm-native,1003.151174634695,1103.006076067686,.  and.  and.  and.  and.  and.,"{""completion_tokens"": 16, ""prompt_tokens"": 8192, ""prompt_tokens_details"": {""cached_tokens"": 7104}, ""total_tokens"": 8208}",8,4,reuse,11,8192,0.004778139293193817,0.005755580961704254,1.1088082753121853,7104,True
sustained-vllm-native,2113.5474406182766,2764.53685387969,.  and.  and.  and.  and.  and.,"{""completion_tokens"": 16, ""prompt_tokens"": 8192, ""prompt_tokens_details"": {""cached_tokens"": 0}, ""total_tokens"": 8208}",8,6,reuse,2,8192,0.008036375045776367,0.008195843547582626,2.7727839946746826,0,True
sustained-vllm-native,2294.5402786135674,2416.9378504157066,  and.  and.  and.  and.  and. ,"{""completion_tokens"": 16, ""prompt_tokens"": 4096, ""prompt_tokens_details"": {""cached_tokens"": 0}, ""total_tokens"": 4112}",8,8,reuse,1,4096,0.3793545663356781,0.3794309236109257,2.796414364129305,0,True
sustained-vllm-native,2569.403074681759,2691.487707197666,. and. and. and. and. and. and. and. and,"{""completion_tokens"": 16, ""prompt_tokens"": 1024, ""prompt_tokens_details"": {""cached_tokens"": 0}, ""total_tokens"": 1040}",8,7,reuse,9,1024,0.008362088352441788,0.10498172044754028,2.7965147122740746,0,True
sustained-vllm-native,2868.372429162264,4006.0995258390903,.  and.  and.  and.  and.  and.,"{""completion_tokens"": 16, ""prompt_tokens"": 4096, ""prompt_tokens_details"": {""cached_tokens"": 4032}, ""total_tokens"": 4112}",8,10,reuse,7,4096,0.3878181241452694,0.3887544386088848,4.394906386733055,4032,True
sustained-vllm-native,2869.913250207901,4007.31835141778,.  and.  and.  and.  and.  and.,"{""completion_tokens"": 16, ""prompt_tokens"": 4096, ""prompt_tokens_details"": {""cached_tokens"": 0}, ""total_tokens"": 4112}",8,9,reuse,7,4096,0.38758913427591324,0.38766666129231453,4.39503264054656,0,True
