engine,length,repeat,phase,ttft_ms,e2e_ms,cache_source,matches_cold_output,text,load_bytes,ssd_read_bytes,load_task_ms,ssd_prefetch_ms,save_bytes,save_task_ms,ssd_write_bytes,ssd_write_operations,ssd_write_operation_sum_ms,ssd_read_failures,ssd_write_failures,evicted_dram_bytes
vllm,1024,0,cold,119.87705156207085,210.8512967824936,miss,True,.  and.  and.  and.  and.  and.,0,0,0,0,150994944.0,3.802592999999999,150994944.0,16.0,71.95074000000002,0,0,0
vllm,1024,0,hbm_hit,21.876554936170578,112.34652623534203,mixed,True,.  and.  and.  and.  and.  and.,9437184.0,0,0.37792400000000004,0,0,0,0,0,0,0,0,0
vllm,1024,0,after_pressure,24.844981729984283,115.38473516702652,external,True,.  and.  and.  and.  and.  and.,150994944.0,0,4.661761,0,0,0,0,0,0,0,0,0
vllm,1024,0,after_host_eviction,51.039908081293106,141.30018278956413,external,True,.  and.  and.  and.  and.  and.,150994944.0,150994944.0,4.638659,27.688637,0,0,0,0,0,0,0,7662993408
vllm,1024,1,cold,118.621576577425,209.40608531236649,miss,True,.  and.  and.  and.  and.  and.,0,0,0,0,150994944.0,3.8181049999999885,150994944.0,16.0,78.08201300000039,0,0,0
vllm,1024,1,hbm_hit,19.702769815921783,109.90889370441437,mixed,True,.  and.  and.  and.  and.  and.,9437184.0,0,0.3390310000000001,0,0,0,0,0,0,0,0,0
vllm,1024,1,after_pressure,23.83127063512802,113.95814642310143,external,True,.  and.  and.  and.  and.  and.,150994944.0,0,4.642949000000001,0,0,0,0,0,0,0,0,0
vllm,1024,1,after_host_eviction,47.26849868893623,137.52451539039612,external,True,.  and.  and.  and.  and.  and.,150994944.0,150994944.0,4.720673999999999,23.536674999999995,0,0,0,0,0,0,0,7549747200
vllm,1024,2,cold,118.7639869749546,209.52581614255905,miss,True,.  A researcher.  A researcher.  A researcher.  A researcher,0,0,0,0,150994944.0,3.8470899999999975,150994944.0,16.0,94.26803299999698,0,0,0
vllm,1024,2,hbm_hit,19.538771361112595,109.77855697274208,mixed,True,.  A researcher.  A researcher.  A researcher.  A researcher,9437184.0,0,0.34191899999999953,0,0,0,0,0,0,0,0,0
vllm,1024,2,after_pressure,23.777693510055542,113.9967106282711,external,True,.  A researcher.  A researcher.  A researcher.  A researcher,150994944.0,0,4.625535,0,0,0,0,0,0,0,0,0
vllm,1024,2,after_host_eviction,49.35862869024277,139.5583264529705,external,True,.  A researcher.  A researcher.  A researcher.  A researcher,150994944.0,150994944.0,4.658894,24.842296,0,0,0,0,0,0,0,7549747200
vllm,1024,3,cold,118.8376434147358,209.71262082457542,miss,True,. and. and. and. and. and. and. and. and,0,0,0,0,150994944.0,3.986803999999955,150994944.0,16.0,82.18333399999977,0,0,0
vllm,1024,3,hbm_hit,20.719584077596664,110.99814623594284,mixed,True,. and. and. and. and. and. and. and. and,9437184.0,0,0.343696000000001,0,0,0,0,0,0,0,0,0
vllm,1024,3,after_pressure,23.679841309785843,113.93094062805176,external,True,. and. and. and. and. and. and. and. and,150994944.0,0,4.537749000000001,0,0,0,0,0,0,0,0,0
vllm,1024,3,after_host_eviction,46.987906098365784,137.16274499893188,external,True,. and. and. and. and. and. and. and. and,150994944.0,150994944.0,4.650541000000001,22.886810999999994,0,0,0,0,0,0,0,7549747200
vllm,1024,4,cold,118.74162033200264,209.3930058181286,miss,True,.  A.  A.  A.  A.  A.,0,0,0,0,150994944.0,3.9899110000000126,150994944.0,16.0,82.22549800000323,0,0,0
vllm,1024,4,hbm_hit,19.615035504102707,109.8559983074665,mixed,True,.  A.  A.  A.  A.  A.,9437184.0,0,0.34108900000000275,0,0,0,0,0,0,0,0,0
vllm,1024,4,after_pressure,23.59597012400627,113.8664111495018,external,True,.  A.  A.  A.  A.  A.,150994944.0,0,4.529227000000004,0,0,0,0,0,0,0,0,0
vllm,1024,4,after_host_eviction,45.533277094364166,135.66527143120766,external,True,.  A.  A.  A.  A.  A.,150994944.0,150994944.0,4.667258,22.404600999999996,0,0,0,0,0,0,0,7549747200
vllm,4096,0,cold,474.25996512174606,566.9836141169071,miss,True, and. and.  and.  and.  and.  and.,0,0,0,0,603979776.0,20.114490000000096,603979776.0,64.0,1068.959406000001,0,0,0
vllm,4096,0,hbm_hit,22.841528058052063,115.19111320376396,mixed,False,. and. and. and. and. and. and. and. and,9437184.0,0,0.34147400000000133,0,0,0,0,0,0,0,0,0
vllm,4096,0,after_pressure,37.130072712898254,129.38617542386055,external,False,. and. and. and. and. and. and. and. and,603979776.0,0,15.629325,0,0,0,198180864.0,21.0,421.1995770000172,0,0,0
vllm,4096,0,after_host_eviction,139.79601114988327,231.9355122745037,external,False,. and. and. and. and. and. and. and. and,603979776.0,603979776.0,18.504838999999997,99.580435,0,0,0,0,0,0,0,8606711808
vllm,4096,1,cold,475.23126006126404,567.494235932827,miss,True,.  and.  and.  and.  and.  and.,0,0,0,0,603979776.0,22.46148400000014,603979776.0,64.0,677.9965180000077,0,0,0
vllm,4096,1,hbm_hit,22.31733128428459,114.60128799080849,mixed,True,.  and.  and.  and.  and.  and.,9437184.0,0,0.35217899999999414,0,0,0,0,0,0,0,0,0
vllm,4096,1,after_pressure,37.06945851445198,129.3553113937378,external,True,.  and.  and.  and.  and.  and.,603979776.0,0,15.547017999999996,0,0,0,0,0,0,0,0,0
vllm,4096,1,after_host_eviction,155.1644653081894,247.0427118241787,external,True,.  and.  and.  and.  and.  and.,603979776.0,603979776.0,18.476037,109.70028299999998,0,0,0,0,0,0,0,8455716864
vllm,4096,2,cold,474.68945384025574,567.3361569643021,miss,True,.  and.  and.  and.  and.  and.,0,0,0,0,603979776.0,20.369501999999873,603979776.0,64.0,911.9102379999902,0,0,0
vllm,4096,2,hbm_hit,23.208435624837875,115.54006487131119,mixed,True,.  and.  and.  and.  and.  and.,9437184.0,0,0.3490280000000012,0,0,0,0,0,0,0,0,0
vllm,4096,2,after_pressure,36.02343797683716,128.2847300171852,external,True,.  and.  and.  and.  and.  and.,603979776.0,0,13.773464999999998,0,0,0,0,0,0,0,0,0
vllm,4096,2,after_host_eviction,140.3629295527935,232.6292209327221,external,True,.  and.  and.  and.  and.  and.,603979776.0,603979776.0,18.576708999999997,99.308807,0,0,0,0,0,0,0,8455716864
